term,freq
người,13130
để,12383
khi,11772
đến,10417
đó,9261
nhiều,9255
cũng,8966
năm,8934
vào,8499
tại,8237
theo,7691
ra,7427
ngày,6931
hơn,6533
sau,6464
phải,5922
ông,5887
như,5804
anh,5640
việc,5608
